,tweet_id,favorite_count,retweet_count
0,892420643555336193,35194,7425
1,892177421306343426,30461,5522
2,891815181378084864,22905,3645
3,891689557279858688,38483,7600
4,891327558926688256,36751,8185
5,891087950875897856,18526,2743
6,890971913173991426,10771,1776
7,890729181411237888,59278,16609
8,890609185150312448,25505,3793
9,890240255349198849,29093,6433
10,890006608113172480,28057,6454
11,889880896479866881,25524,4384
12,889665388333682689,43815,8805
13,889638837579907072,24644,3936
14,889531135344209921,13877,1986
15,889278841981685760,22999,4686
16,888917238123831296,26606,3940
17,888804989199671297,23348,3724
18,888554962724278272,18007,3043
19,888078434458587136,19908,3052
20,887705289381826560,27676,4752
21,887517139158093824,42375,10359
22,887473957103951883,62705,15826
23,887343217045368832,30759,9265
24,887101392804085760,28017,5250
25,886983233522544640,31762,6722
26,886736880519319552,10916,2799
27,886680336477933568,20557,3940
28,886366144734445568,19289,2785
29,886267009285017600,108,3
30,886258384151887873,25557,5564
31,886054160059072513,0,96
32,885984800019947520,29768,5908
33,885528943205470208,32831,5621
34,885518971528720385,18713,3286
35,885311592912609280,0,16281
36,885167619883638784,19996,3847
37,884925521741709313,70241,15889
38,884876753390489601,25405,4914
39,884562892145688576,22204,4134
40,884441805382717440,24780,5017
41,884247878851493888,66208,17870
42,884162670584377345,18648,2633
43,883838122936631299,19962,3011
44,883482846933004288,41844,8690
45,883360690899218434,20733,3237
46,883117836046086144,33885,5844
47,882992080364220416,21821,3410
48,882762694511734784,25804,4296
49,882627270321602560,25623,5341
50,882268110199369728,40934,10207
51,882045870035918850,26787,4283
52,881906580714921986,22268,2995
53,881666595344535552,46310,9404
54,881633300179243008,115,7
55,881536004380872706,45213,14110
56,881268444196462592,21280,4673
57,880935762899988482,15637,2462
58,880872448815771648,19467,3369
59,880465832366813184,26009,5477
60,880221127280381952,24628,3660
61,880095782870896641,25250,3834
62,879862464715927552,20455,3071
63,879674319642796034,287,10
64,879492040517615616,21485,2792
65,879415818425184262,96644,39381
66,879376492567855104,15422,2761
67,879130579576475649,0,6010
68,879050749262655488,20622,4151
69,879008229531029506,17400,2360
70,878776093423087618,17740,3616
71,878604707211726852,27512,6232
72,878404777348136964,0,1124
73,878316110768087041,0,5859
74,878281511006478336,7061,1124
75,878057613040115712,38551,6010
76,877736472329191424,72415,16711
77,877611172832227328,0,70
78,877556246731214848,20800,3361
79,877316821321428993,25142,4599
80,877201837425926144,24835,4912
81,876838120628539392,18969,2945
82,876537666061221889,21794,4155
83,876484053909872640,17231,2090
84,876120275196170240,25689,4120
85,875747767867523072,23024,3770
86,875144289856114688,20120,4343
87,875097192612077568,25194,5395
88,875021211251597312,23426,4178
89,874680097055178752,25545,4103
90,874434818259525634,0,12860
91,874296783580663808,23923,3664
92,874057562936811520,20882,3533
93,874012996292530176,31375,9057
94,873580283840344065,22267,3497
95,873337748698140672,0,1403
96,873213775632977920,6581,1403
97,872967104147763200,25046,4800
98,872820683541237760,13569,3305
99,872620804844003328,19080,3234
100,872486979161796608,37499,8090
101,872122724285648897,31502,7220
102,871879754684805121,34525,9741
103,871762521631449091,18613,3102
104,871515927908634625,18591,3105
105,871166179821445120,0,5104
106,871102520638267392,19288,4927
107,871032628920680449,20975,3401
108,870804317367881728,31007,5532
109,870726314365509632,112,3
110,870656317836468226,11339,2333
111,870374049280663552,76834,23848
112,870308999962521604,20254,3714
113,870063196459192321,33711,7446
114,869772420881756160,39388,9109
115,869702957897576449,26044,5644
116,869596645499047938,14769,2785
117,869227993411051520,18882,3376
118,868880397819494401,60356,12930
119,868639477480148993,0,1852
120,868622495443632128,24601,4740
121,868552278524837888,9317,1852
122,867900495410671616,22433,3771
123,867774946302451713,31499,6601
124,867421006826221569,14888,2243
125,867072653475098625,0,108
126,867051520902168576,29855,7116
127,866720684873056260,18538,4335
128,866686824827068416,17837,3122
129,866450705531457537,113308,31871
130,866334964761202691,48515,12860
131,866094527597207552,0,7568
132,865718153858494464,23867,5096
133,865359393868664832,24572,4532
134,865006731092295680,26048,7014
135,864873206498414592,29972,7875
136,864279568663928832,13578,2721
137,864197398364647424,27837,7995
138,863907417377173506,19194,3764
139,863553081350529029,14203,3805
140,863471782782697472,0,2197
141,863432100342583297,22132,4766
142,863427515083354112,2046,85
143,863079547188785154,8175,1009
144,863062471531167744,7844,2197
145,862831371563274240,17883,4685
146,862722525377298433,15953,3230
147,862457590147678208,19015,4478
148,862096992088072192,69088,21070
149,861383897657036800,33687,9778
150,861288531465048066,16028,3786
151,861005113778896900,15594,3491
152,860981674716409858,0,1954
153,860924035999428608,0,723
154,860563773140209665,6997,1954
155,860524505164394496,22114,4838
156,860276583193509888,17218,3226
157,860184849394610176,15599,5374
158,860177593139703809,0,28322
159,859924526012018688,18366,3771
160,859851578198683649,14487,3235
161,859607811541651456,17476,1418
162,859196978902773760,84114,27684
163,859074603037188101,31672,12553
164,858860390427611136,0,7468
165,858843525470990336,14659,3191
166,858471635011153920,20268,4491
167,858107933456039936,14810,2665
168,857989990357356544,15111,2383
169,857746408056729600,32174,9826
170,857393404942143489,5539,1517
171,857263160327368704,18927,4182
172,857214891891077121,213,17
173,857062103051644929,0,154
174,857029823797047296,17751,3681
